,AllGestureWiimoteX,AllGestureWiimoteY,AllGestureWiimoteZ,AsphaltObstacles,AsphaltPavementType,AsphaltRegularity,CricketX,CricketY,CricketZ,GestureMidAirD1,GestureMidAirD2,GestureMidAirD3,GesturePebbleZ1,GesturePebbleZ2,GunPoint,GunPointAgeSpan,GunPointMaleVersusFemale,GunPointOldVersusYoung,Haptics,InlineSkate,ToeSegmentation1,ToeSegmentation2,UWaveGestureLibraryAll,UWaveGestureLibraryX,UWaveGestureLibraryY,UWaveGestureLibraryZ,Worms,WormsTwoClass
AllGestureWiimoteX,1.0117253472678895,0.9190724056857618,4.656679895944236,11.584925721474821,8.76964867443868,10.786924627650986,4.211333644261074,3.0785035162311187,3.678890788302975,225.22468717770315,2117.4291955864965,186.68194617417,55.64337099031867,62.030533663948006,4.9893536686666256,7660.220949161532,6065.299221435138,5089.547050658781,5.822278398348059,3.9830165227975085,4.0693437435554936,4.3569838827830605,7.242101696804328,2.9498390419329654,2.7401937597929633,2.776363360652437,6.123110793817964,7.442157405880963
AllGestureWiimoteY,0.9190724056857618,0.931826438246305,4.184849963406351,12.095288452370985,8.465437746152535,10.616836582484694,4.237620841305967,4.350437599885506,4.496314782801011,239.48583677631765,2115.5328516916456,197.36969111395072,64.43717198946214,69.37435157296498,3.9011910332048383,7657.927700685947,6062.986473222315,5087.260146553398,6.248989381081422,4.529810765412666,3.783410324636848,4.058617329072042,5.376392578730153,2.671031722055842,3.2379251716240827,3.147854914606116,6.150315017017674,7.290283364175479
AllGestureWiimoteZ,4.656679895944236,4.184849963406351,0.633450400367926,13.65892194052427,9.779438682508129,11.693557309578747,4.914406847409027,5.77116865041356,5.32181267199336,235.3244153132407,2109.6457296161643,203.64926980838518,60.42372297193067,64.31513129785893,7.223520700168612,7664.106940868571,6068.665237816209,5095.017919074119,7.301155660822027,7.72729504547282,4.979200579281805,5.502676895142849,9.204754907088331,4.449981376184089,4.592828896416123,4.203783615406768,7.876492015164025,9.114727045092673
AsphaltObstacles,11.584925721474821,12.095288452370985,13.65892194052427,10.447702952789985,10.460394334334458,11.582905988031884,11.248994489873905,11.726588402670087,11.31998437953974,217.34520704209172,2212.346693825628,187.99622325650682,51.86272909069809,52.221004441339105,15.851755977776428,7986.339920764445,6382.489708898132,5445.471040171659,14.46695155381439,13.490753462691679,12.111331055175999,11.688663842191259,12.304461498056842,12.095307111332685,13.293768797356552,12.29528983687489,12.135670527468461,12.061004233596549
AsphaltPavementType,8.76964867443868,8.465437746152535,9.779438682508129,10.460394334334458,24.762216265675914,7.665046227922069,8.761762112844982,8.878356536514733,8.83510193317203,217.2468079643229,2331.1547523718823,184.11105067545253,58.73777852222777,68.96909587668593,9.519666224969608,8663.966123907681,7033.475487741731,6160.21309734736,10.841569877643892,8.855115569940592,8.950323344767927,9.033195372200966,9.630406602518136,8.965792075645316,9.341629539767165,9.002300441117129,9.76767797975021,10.215860294274377
AsphaltRegularity,10.786924627650986,10.616836582484694,11.693557309578747,11.582905988031884,7.665046227922069,28.112427307666014,10.472902920460315,10.38026902672533,10.549874155232866,222.26441405925615,2341.242848736842,186.66330723054287,59.68805619725212,71.19053668286492,11.824957464309056,10229.472967601312,8506.327023952455,7725.749093408559,12.248990524509944,11.052313213621254,10.80597412501931,11.028375450113119,11.2410828128462,10.87167389669973,11.358432930636342,10.73505958129293,11.464133232241847,11.240290794443919
CricketX,4.211333644261074,4.237620841305967,4.914406847409027,11.248994489873905,8.761762112844982,10.472902920460315,3.8680820135411222,3.9959162439747766,2.944867217513998,231.73222891286844,2254.9676652426183,193.6021197783062,58.35224287473471,63.88092073877556,5.1493373091031955,8141.0202806865545,6532.3168089292485,5612.676212916087,5.740795955804098,5.675956191558334,3.7491787930340084,3.4716578286598043,5.314631055809809,3.7378498655331316,3.8250727515374585,3.70312600137452,5.088138341283199,6.732947697105991
CricketY,3.0785035162311187,4.350437599885506,5.77116865041356,11.726588402670087,8.878356536514733,10.38026902672533,3.9959162439747766,2.6305028731148448,3.440012875014549,216.85396644495404,2254.929339295046,186.57746403141107,51.02816565274525,58.65867953931637,6.215533776969244,8141.603111955217,6532.582150464229,5612.638752612153,5.265899630790126,4.967538990619933,4.291213441733646,4.668910237983743,5.6731933724072,3.0084868666075377,3.905658017556299,3.948243101745319,5.965572664683572,6.24203274058088
CricketZ,3.678890788302975,4.496314782801011,5.32181267199336,11.31998437953974,8.83510193317203,10.549874155232866,2.944867217513998,3.440012875014549,3.90807768559521,228.69796554320266,2254.39652829762,189.47411696404453,57.475362075032386,62.455402090061064,5.7816480549091285,8140.7292758422855,6532.036362749728,5612.345137400467,5.734238950161248,4.612833104799139,3.4967790282093993,3.639585590169157,5.294045560743291,3.4537405791169977,4.15912267033801,4.199830837025442,5.345706502122843,5.861768315133295
GestureMidAirD1,225.22468717770315,239.48583677631765,235.3244153132407,217.34520704209172,217.2468079643229,222.26441405925615,231.73222891286844,216.85396644495404,228.69796554320266,82.81252599802389,677.6217112287773,91.22228833584634,125.46055681689874,125.72121307746929,244.5769017782368,5837.945650528501,4243.638435017119,3344.705198447451,237.18052169387852,224.13959316943564,238.58516476726635,238.62746458918366,234.3864628221996,232.05200776416527,236.08557414465636,233.29952845610663,224.58224281062311,233.33621611485967
